10;50;100;500;1000;2000;5000
1.27636;2.77335;3.82228;8.97913;12.8671;18.3753;28.4121
1.32669;2.85874;4.36255;9.60645;12.6878;18.1644;29.1989
1.00254;2.62599;4.26243;9.28954;12.8923;18.0904;28.6102
1.14798;3.1597;4.15597;8.88309;12.9647;18.5642;28.828
1.15935;2.89176;4.28214;9.15336;13.0034;18.2936;28.957
1.40576;3.09735;3.76947;9.26562;13.0831;18.333;28.6432
1.11186;3.26375;4.00132;8.81381;12.9852;18.4504;28.7897
0.726487;2.82915;3.84413;9.77242;12.9414;18.3978;28.9868
1.08893;2.86436;4.02508;9.35205;12.8199;18.3828;29.1222
0.899142;2.95176;4.29843;9.43704;13.1287;18.1611;28.4397
0.616542;2.8609;4.32307;8.97607;13.0365;18.2246;28.7423
1.05925;2.99762;4.09866;9.328;12.4795;18.1559;28.7405
1.15808;2.8749;4.2062;9.30629;12.8597;18.3782;28.6279
0.68069;3.11102;4.35452;9.22453;12.8715;18.3734;28.9242
1.24643;2.88429;4.07838;9.00478;12.8828;18.1636;28.9288
0.856996;2.4382;3.97494;9.37253;12.9586;18.3848;28.7887
0.862311;2.9898;4.23372;9.23323;13.0605;17.617;28.867
1.35569;2.67144;3.74003;9.03856;12.7856;18.4558;28.6562
1.43698;3.08285;3.91353;9.2347;13.5921;18.3709;28.5607
1.1718;3.04667;4.17386;9.0477;12.8512;18.4065;28.6889
1.17459;2.8435;4.33699;9.28178;13.2273;18.2805;28.7112
1.11804;2.43057;3.91275;9.26811;12.8868;18.8896;28.692
0.88068;2.76929;3.81313;9.38886;12.8655;18.3704;28.9693
1.14028;2.95965;4.24261;9.67497;12.8305;18.5899;28.6576
1.02859;3.0535;4.29438;9.2578;12.8599;18.2947;28.8589
1.17874;2.71949;4.2371;9.02288;12.9479;18.4942;28.7598
0.760041;2.92096;4.12143;9.23186;12.9635;18.2378;28.8947
1.3362;2.73707;4.03504;9.19733;13.0229;18.3165;28.891
1.20765;2.78102;3.97211;9.32083;13.0018;18.5737;28.669
1.22025;2.98744;4.424;9.2798;12.9001;18.2974;29.1698
1.11493;2.61356;3.89847;9.3418;12.7781;18.2198;29.0324
0.897667;3.23896;4.49974;9.45333;12.5205;18.1863;28.9982
0.842056;2.81079;4.11875;9.22563;13.108;18.6941;28.6637
1.13776;2.71113;4.03236;9.51559;12.9728;18.4386;28.6297
1.17247;2.70412;4.01026;9.70804;12.5468;18.3857;29.033
1.00292;2.91529;4.41787;8.96222;13.0975;18.1422;28.2141
1.05778;2.89888;4.41503;9.29227;13.0477;18.248;29.0469
1.10541;2.78374;4.16752;9.40786;12.9875;17.9152;28.7965
1.29951;3.35129;4.13484;9.48972;12.8835;18.4568;28.5602
1.45682;3.04649;4.37775;9.10716;13.0655;18.6303;28.8811
1.00566;2.96987;4.32271;9.26794;12.6422;18.4154;28.9946
1.17152;3.07936;4.01421;9.32886;12.9521;18.4147;28.6677
1.47982;2.89532;4.17686;9.3841;12.4119;18.3965;28.6146
1.15402;2.93142;4.0159;9.02621;13.0338;18.3592;28.9187
1.28723;2.86227;4.29997;9.23541;12.991;18.1909;28.7741
1.10953;3.02659;4.40753;9.0526;13.0895;18.3044;28.7794
0.797001;3.12484;4.057;9.04564;12.963;18.2158;28.7066
1.03611;2.79514;4.25359;9.03725;12.7039;18.5626;28.8951
1.19345;3.04759;4.14388;9.20071;12.9754;18.1867;28.8296
0.959723;2.6667;4.2042;8.89953;13.1456;18.3057;28.8689
1.22521;3.21112;3.96964;8.77085;13.2588;18.0587;28.9854
1.04503;2.73011;3.92966;8.95908;12.8369;18.3592;28.6252
0.934407;2.5129;4.34358;9.11947;13.253;18.6833;28.6877
1.26292;2.75879;3.87877;9.09431;12.6868;18.4886;28.7359
1.11456;2.65108;4.29681;9.3268;12.8633;18.306;28.7243
0.812069;2.64624;4.22353;8.90982;12.937;18.4955;28.8806
0.934186;2.85729;3.77012;9.39318;12.7608;18.1634;29.0156
1.12115;2.56784;4.29384;9.29198;12.9225;18.1563;28.7922
1.08409;2.56708;4.32221;9.13175;12.653;18.4698;28.855
0.537437;2.64596;3.81293;9.47715;12.6389;18.4336;28.2996
1.07786;2.71293;3.94294;9.5067;13.0678;18.0431;28.9493
0.807615;2.61366;4.1004;9.23863;13.1817;18.4309;28.3986
1.00631;3.06172;4.08751;8.97795;13.1899;18.3096;28.7829
1.34038;2.60558;4.04522;9.17093;13.0578;18.4842;29.1078
0.919461;2.84548;4.11868;9.24769;13.0351;18.3534;28.2446
